Group,FishID,Group_Size,Date,Time,Observer,Tank,Chase,Chased,In_Refuge,Elo_daily,Elo_stability,Pellet_Bites,Pellet_Order,NovelBites,NovelOrder,Trial,Weight,Length
101,9_GG,3,1/22/20,2:20,JY,1,0,0,0,1225,0.9235,10,1,0,N/A,7,0.582,32
101,6_BR,3,1/23/20,10:30,LP,1,0,0,11,868,0.9235,0,N/A,0,N/A,8,0.328,27
101,8_BY,3,1/23/20,10:30,LP,1,0,2,10,883,0.9235,0,N/A,0,N/A,8,0.539,30
101,9_GG,3,1/23/20,10:30,LP,1,2,0,0,1249,0.9235,1,1,1,1,8,0.582,32
101,6_BR,3,1/24/20,3:32,JY,1,0,2,10,851,0.9235,0,N/A,0,N/A,9,0.328,27
101,8_BY,3,1/24/20,3:32,JY,1,0,6,9,842,0.9235,3,1,0,N/A,9,0.539,30
101,9_GG,3,1/24/20,3:32,JY,1,8,0,3,1307,0.9235,0,N/A,0,N/A,9,0.582,32
101,6_BR,3,1/25/20,1:21,MD,1,0,0,0,851,0.9235,0,N/A,1,2,10,0.328,27
101,8_BY,3,1/25/20,1:21,MD,1,0,0,11,842,0.9235,0,N/A,0,N/A,10,0.539,30
101,9_GG,3,1/25/20,1:21,MD,1,0,0,0,1307,0.9235,3,1,2,1,10,0.582,32
102,10_BR,4,2/12/20,3:23,JY,1,0,0,0,1000,0.8684,3,1,,,1,0.356,26
102,11_YY,4,2/12/20,3:23,JY,1,0,0,0,1000,0.8684,0,N/A,,,1,0.449,27
102,9_YB,4,2/12/20,3:23,JY,1,0,0,0,1000,0.8684,2,2,,,1,0.482,32
102,12_GG,4,2/12/20,3:23,JY,1,0,0,0,1000,0.8684,3,3,,,1,0.555,32
102,10_BR,4,2/13/20,4:40,LP,1,0,0,0,1000,0.8684,4,2,,,2,0.356,26
102,11_YY,4,2/13/20,4:40,LP,1,0,0,0,1000,0.8684,1,3,,,2,0.449,27
102,9_YB,4,2/13/20,4:40,LP,1,0,0,0,1000,0.8684,3,1,,,2,0.482,32
102,12_GG,4,2/13/20,4:40,LP,1,0,0,0,1000,0.8684,0,N/A,,,2,0.555,32
102,10_BR,4,2/14/20,10:00,LP,1,0,0,0,903,0.8684,1,1,,,3,0.356,26
102,11_YY,4,2/14/20,10:00,LP,1,0,0,0,832,0.8684,0,N/A,,,3,0.449,27
102,9_YB,4,2/14/20,10:00,LP,1,0,0,0,1105,0.8684,6,2,,,3,0.482,32
102,12_GG,4,2/14/20,10:00,LP,1,0,0,0,1160,0.8684,1,3,,,3,0.555,32
102,10_BR,4,2/15/20,12:45,LP,1,3,4,0,939,0.8684,3,3,,,4,0.356,26
102,11_YY,4,2/15/20,12:45,LP,1,0,5,0,706,0.8684,1,1,,,4,0.449,27
102,9_YB,4,2/15/20,12:45,LP,1,4,2,0,1266,0.8684,2,4,,,4,0.482,32
102,12_GG,4,2/15/20,12:45,LP,1,4,0,0,1089,0.8684,2,2,,,4,0.555,32
102,10_BR,4,2/16/20,5:00,LP,1,2,3,0,939,0.8684,2,1,,,5,0.356,26
102,11_YY,4,2/16/20,5:00,LP,1,0,5,2,706,0.8684,1,4,,,5,0.449,27
102,9_YB,4,2/16/20,5:00,LP,1,7,5,0,1266,0.8684,3,2,,,5,0.482,32
102,12_GG,4,2/16/20,5:00,LP,1,8,4,0,1089,0.8684,2,3,,,5,0.555,32
102,10_BR,4,2/17/20,4:00,LP,1,0,0,0,939,0.8684,0,N/A,4,1,6,0.356,26
102,11_YY,4,2/17/20,4:00,LP,1,0,1,0,697,0.8684,1,2,7,3,6,0.449,27
102,9_YB,4,2/17/20,4:00,LP,1,0,0,0,1266,0.8684,2,3,3,4,6,0.482,32
102,12_GG,4,2/17/20,4:00,LP,1,1,0,0,1098,0.8684,5,1,4,2,6,0.555,32
102,10_BR,4,2/18/20,4:00,LP,1,0,12,0,636,0.8684,0,N/A,8,2,7,0.356,26
102,11_YY,4,2/18/20,4:00,LP,1,10,4,0,933,0.8684,4,1,8,1,7,0.449,27
102,9_YB,4,2/18/20,4:00,LP,1,4,1,0,1270,0.8684,0,N/A,0,N/A,7,0.482,32
102,12_GG,4,2/18/20,4:00,LP,1,6,3,0,1161,0.8684,4,2,6,3,7,0.555,32
102,10_BR,4,2/19/20,4:00,LP,1,2,3,0,672,0.8684,0,N/A,6,3,8,0.356,26
102,11_YY,4,2/19/20,4:00,LP,1,4,7,0,893,0.8684,0,N/A,4,1,8,0.449,27
102,9_YB,4,2/19/20,4:00,LP,1,5,3,0,1240,0.8684,5,2,0,N/A,8,0.482,32
102,12_GG,4,2/19/20,4:00,LP,1,4,2,0,1195,0.8684,5,1,7,2,8,0.555,32
102,10_BR,4,2/20/20,10:13,LP,1,0,4,10,650,0.8684,0,N/A,1,2,9,0.356,26
102,11_YY,4,2/20/20,10:13,LP,1,7,2,0,1059,0.8684,1,3,1,1,9,0.449,27
102,9_YB,4,2/20/20,10:13,LP,1,0,6,3,976,0.8684,2,2,0,N/A,9,0.482,32
102,12_GG,4,2/20/20,10:13,LP,1,5,0,0,1315,0.8684,6,1,3,3,9,0.555,32
102,9_YB,4,2/21/20,3:45,JY,1,2,11,0,990,0.8684,0,N/A,4,2,10,0.482,32
102,10_BR,4,2/21/20,3:45,JY,1,0,1,0,646,0.8684,3,1,2,4,10,0.356,26
102,11_YY,4,2/21/20,3:45,JY,1,4,5,0,951,0.8684,2,3,2,3,10,0.449,27
102,12_GG,4,2/21/20,3:45,JY,1,11,0,0,1413,0.8684,3,2,4,1,10,0.555,32
120,10_RR,2,2/23/20,12:05,LP,1,0,0,0,1000,0.8571,1,1,,,1,0.342,26
120,12_YB,2,2/23/20,12:05,LP,1,0,0,11,1000,0.8571,0,N/A,,,1,0.373,32
120,10_RR,2,2/24/20,3:55,JY,1,0,0,0,1000,0.8571,0,N/A,,,2,0.342,26
120,12_YB,2,2/24/20,3:55,JY,1,0,0,0,1000,0.8571,1,1,,,2,0.373,32
120,10_RR,2,2/25/20,11:00,LP,1,0,1,0,950,0.8571,1,2,,,3,0.342,26
120,12_YB,2,2/25/20,11:00,LP,1,1,0,4,1050,0.8571,3,1,,,3,0.373,32
120,10_RR,2,2/26/20,3:50,JY,1,0,2,4,887,0.8571,1,2,,,4,0.342,26
120,12_YB,2,2/26/20,3:50,JY,1,2,0,0,1113,0.8571,3,1,,,4,0.373,32
120,10_RR,2,2/27/20,4:10,CR,1,0,1,0,866,0.8571,2,2,,,5,0.342,26
120,12_YB,2,2/27/20,4:10,CR,1,1,0,0,1134,0.8571,2,1,,,5,0.373,32
120,10_RR,2,2/28/20,3:10,LP,1,0,0,0,866,0.8571,3,2,13,1,6,0.342,26
120,12_YB,2,2/28/20,3:10,LP,1,0,0,0,1134,0.8571,2,1,8,2,6,0.373,32
120,10_RR,2,2/29/20,11:35,LP,1,0,0,0,866,0.8571,2,2,4,1,7,0.342,26
120,12_YB,2,2/29/20,11:35,LP,1,0,0,0,1134,0.8571,2,1,0,N/A,7,0.373,32
120,10_RR,2,3/1/20,5:00,LP,1,0,0,0,866,0.8571,2,1,1,2,8,0.342,26
120,12_YB,2,3/1/20,5:00,LP,1,0,0,0,1134,0.8571,3,2,3,1,8,0.373,32
120,10_RR,2,3/2/20,2:57,JY,1,5,1,0,1039,0.8571,3,2,2,2,9,0.342,26
120,12_YB,2,3/2/20,2:57,JY,1,1,5,0,961,0.8571,1,1,13,1,9,0.373,32
120,10_RR,2,3/3/20,12:46,LP,1,11,0,0,1218,0.8571,2,1,27,1,10,0.342,26
120,12_YB,2,3/3/20,12:46,LP,1,0,11,2,782,0.8571,2,2,1,2,10,0.373,32
103,10_GR,3,3/10/20,2:06,HR/SC,1,0,0,0,1000,0.5,0,N/A,,,1,0.359,25
103,12_BY,3,3/10/20,2:06,HR/SC,1,0,0,0,1000,0.5,2,1,,,1,0.508,30
103,13_RY,3,3/10/20,2:06,HR/SC,1,0,0,0,1000,0.5,0,N/A,,,1,0.532,30
103,10_GR,3,3/11/20,3:50,JY,1,0,0,1,1000,0.5,2,2,,,2,0.359,25
103,12_BY,3,3/11/20,3:50,JY,1,0,0,0,1000,0.5,8,1,,,2,0.508,30
103,13_RY,3,3/11/20,3:50,JY,1,0,0,1,1000,0.5,11,3,,,2,0.532,30
103,10_GR,3,3/13/20,10:29,HR,1,2,2,1,979,0.5,2,3,,,5,0.359,25
103,12_BY,3,3/13/20,10:29,HR,1,0,2,0,914,0.5,4,1,,,5,0.508,30
103,13_RY,3,3/13/20,10:29,HR,1,2,0,1,1107,0.5,1,2,,,5,0.532,30
103,10_GR,3,3/14/20,4:00,LP,1,0,0,0,979,0.5,2,3,2,3,6,0.359,25
103,12_BY,3,3/14/20,4:00,LP,1,0,0,0,914,0.5,4,1,8,2,6,0.508,30
103,13_RY,3,3/14/20,4:00,LP,1,0,0,0,1107,0.5,2,2,5,1,6,0.532,30
103,10_GR,3,3/15/20,3:35,JY,1,0,0,0,979,0.5,4,1,0,N/A,7,0.359,25
103,12_BY,3,3/15/20,3:35,JY,1,0,0,0,914,0.5,3,3,0,N/A,7,0.508,30
103,13_RY,3,3/15/20,3:35,JY,1,0,0,0,1107,0.5,5,2,8,1,7,0.532,30
103,10_GR,3,3/16/20,3:25,JY,1,0,2,0,877,0.5,2,2,2,3,8,0.359,25
103,12_BY,3,3/16/20,3:25,JY,1,2,0,0,1016,0.5,5,3,8,2,8,0.508,30
103,13_RY,3,3/16/20,3:25,JY,1,0,0,0,1107,0.5,3,1,9,1,8,0.532,30
103,10_GR,3,3/17/20,10:36,LP,1,0,1,0,846,0.5,1,3,0,N/A,9,0.359,25
103,12_BY,3,3/17/20,10:36,LP,1,1,1,0,1005,0.5,2,2,5,1,9,0.508,30
103,13_RY,3,3/17/20,10:36,LP,1,1,0,0,1149,0.5,1,1,4,2,9,0.532,30
103,10_GR,3,3/18/20,11:00,LP,1,0,4,0,846,0.5,2,1,0,N/A,10,0.359,25
103,12_BY,3,3/18/20,11:00,LP,1,4,0,0,1005,0.5,2,2,2,2,10,0.508,30
103,13_RY,3,3/18/20,11:00,LP,1,0,0,0,1149,0.5,1,3,2,1,10,0.532,30
131,3_YR,2,3/23/20,6:00,LP,1,0,0,0,1000,1,0,N/A,,,1,0.703,33
131,2_UNTAG_1,2,3/23/20,6:00,LP,1,0,0,0,1000,1,3,1,,,1,0.706,31
131,3_YR,2,3/24/20,12:01,LP,1,0,0,0,1000,1,1,2,,,2,0.703,33
131,2_UNTAG_1,2,3/24/20,12:01,LP,1,0,0,0,1000,1,4,1,,,2,0.706,31
131,3_YR,2,3/25/20,3:03,LP,1,0,0,0,1000,1,1,2,,,3,0.703,33
131,2_UNTAG_1,2,3/25/20,3:03,LP,1,0,0,0,1000,1,3,1,,,3,0.706,31
131,3_YR,2,3/26/20,3:10,LP,1,0,7,0,823,1,0,N/A,,,4,0.703,33
131,2_UNTAG_1,2,3/26/20,3:10,LP,1,7,0,0,1177,1,5,1,,,4,0.706,31
131,3_YR,2,3/27/20,11:06,LP,1,0,0,0,823,1,1,2,,,5,0.703,33
131,2_UNTAG_1,2,3/27/20,11:06,LP,1,0,0,0,1177,1,3,1,,,5,0.706,31
131,3_YR,2,3/28/20,11:20,LP,1,0,6,0,775,1,3,2,2,2,6,0.703,33
131,2_UNTAG_1,2,3/28/20,11:20,LP,1,6,0,0,1225,1,1,1,9,1,6,0.706,31
131,3_YR,2,3/29/20,1:59,LP,1,0,5,0,751,1,3,2,9,2,7,0.703,33
